id_no;start;end;today;simserial;subscriberid;deviceid;location;_location_latitude;_location_longitude;_location_altitude;_location_precision;region_name;district_name;ward_name;subward_name;photo_before;photo_during;photo_after;acessibility;no_reasons;yes_no;weather;sediment;vegetation_cover;site;photo_north;photo_east;photo_south;photo_west;additional_observation;_id;_uuid;_submission_time;_validation_status;_index;sample_id;field_sampler_names;field_sampler_names_other;date_collected;tester_name;tester_name_other;date_analysis;weigh_sieves_top;mass_4_75_sieve_top;mass_2_36_sieve_top;mass_1_18_sieve_top;mass_0_6_sieve_top;mass_0_425_sieve_top;mass_0_3_sieve_top;mass_0_15_sieve_top;mass_0_075_sieve_top;mass_bottom_pan_top;top_sample_note;mass_beginning_top;mass_4_75_top;mass_4_75_top_soil_retained;mass_4_75_top_soil_retained_note;mass_2_36_top;mass_2_36_top_soil_retained;mass_2_36_top_soil_retained_note;mass_1_18_top;mass_1_18_top_soil_retained;mass_1_18_top_soil_retained_note;mass_0_6_top;mass_0_6_top_soil_retained;mass_0_6_top_soil_retained_note;mass_0_425_top;mass_0_425_top_soil_retained;mass_0_425_top_soil_retained_note;mass_0_3_top;mass_0_3_top_soil_retained;mass_0_3_top_soil_retained_note;mass_0_15_top;mass_0_15_top_soil_retained;mass_0_15_top_soil_retained_note;mass_0_075_top;mass_0_075_top_soil_retained;mass_0_075_top_soil_retained_note;mass_0_top;mass_0_top_soil_retained;mass_0_top_soil_retained_note;mass_soil_top;mass_soil_top_note;mass_loss_top_sample;percentage_mass_loss_top_sample;mass_loss_top_sample_note;weigh_sieves_bottom;mass_4_75_sieve_bottom;mass_2_36_sieve_bottom;mass_1_18_sieve_bottom;mass_0_6_sieve_bottom;mass_0_425_sieve_bottom;mass_0_3_sieve_bottom;mass_0_15_sieve_bottom;mass_0_075_sieve_bottom;mass_bottom_pan_bottom;bottom_sample_note;mass_beginning_bottom;mass_4_75_bottom;mass_4_75_bottom_soil_retained;mass_4_75_bottom_soil_retained_note;mass_2_36_bottom;mass_2_36_bottom_soil_retained;mass_2_36_bottom_soil_retained_note;mass_1_18_bottom;mass_1_18_bottom_soil_retained;mass_1_18_bottom_soil_retained_note;mass_0_6_bottom;mass_0_6_bottom_soil_retained;mass_0_6_bottom_soil_retained_note;mass_0_425_bottom;mass_0_425_bottom_soil_retained;mass_0_425_bottom_soil_retained_note;mass_0_3_bottom;mass_0_3_bottom_soil_retained;mass_0_3_bottom_soil_retained_note;mass_0_15_bottom;mass_0_15_bottom_soil_retained;mass_0_15_bottom_soil_retained_note;mass_0_075_bottom;mass_0_075_bottom_soil_retained;mass_0_075_bottom_soil_retained_note;mass_0_bottom;mass_0_bottom_soil_retained;mass_0_bottom_soil_retained_note;mass_soil_bottom;mass_soil_bottom_note;mass_loss_bottom_sample;percentage_mass_loss_bottom_sample;mass_loss_bottom_sample_note;_id;_uuid;_submission_time;_validation_status;_index
543;2018-11-22T13:14:48.743+03;2018-11-22T13:16:03.540+03;2018-11-22;8925505090396780505f;640050939678050;351665081326444;-6.822631666666666 39.00637 138.3 1.8;-6.8226316667;39.00637;138.3;1.8;dar_es_salaam;ilala;Kiluvya;Kiluvya;;;;yes;;no;dry;loose;low;urban;;;;;;398;a93855ce-c36e-4456-a70a-eb9610f84091;2018-11-23T07:23:46;;11;543;other;Frank and Massawe;2018-12-12;other;Sia Saronga and Abubakari Rajab;2018-12-13;;513;492;488;495;461;451;437;350;371;;500;520;7;;516;24;;550;62;;622;127;;540;79;;529;78;;522;85;;380;30;;379;8;;500;;0;0;;;516;500;518;494;498;463;443;350;372;;500;529;13;;538;38;;586;68;;611;117;;568;70;;536;73;;528;85;;372;22;;379;7;;493;;7;0.014;;1234;32cb3cd2-5c92-47b6-b021-c6a25274383b;2018-12-13T13:12:10;;523
529;2018-10-12T12:42:40.258+03;2018-10-12T12:57:13.333+03;2018-10-12;8.92550441093499E+018;640044193498715;355938094600683;-6.840940000000001 39.18866166666667 66.4 2.0;-6.84094;39.1886616667;66.4;2;dar_es_salaam;ilala;Segerea;Migombani;1539337620420.jpg;1539337655113.jpg;1539337951108.jpg;yes;;yes;dry;loose;low;urban;1539337993028.jpg;1539338010633.jpg;1539338041405.jpg;1539338062984.jpg;The point is located at the center of cemetery area hence we moved to the northern part within 500meters;9;3a813c19-7fca-43a0-a328-a5542ab8753a;2018-10-12T13:11:50;;12;529;Annastazia_Baraka;;2018-10-12;Sia_Wilfred;;2018-10-12;;512;492;490;495;462;462;437;351;372;;500;519;7;;501;9;;529;39;;611;116;;605;143;;566;104;;559;122;;374;23;;383;11;;574;;-74;-0.148;;;512;492;490;495;462;462;437;351;372;;500;515;3;;495;3;;502;12;;657;162;;622;160;;561;99;;483;46;;358;7;;372;0;;492;;8;0.016;;107;cb026715-16d0-4420-b3b9-79b0e41ec9b4;2018-11-07T11:22:40;;14
529;2018-10-12T05:01:46.767+03;2018-10-12T10:06:47.974+03;2018-10-12;8.92550506043139E+018;640050643139133;355938094481142;-6.843009834706379 39.201474487781525 0.0 0.0;-6.8430098347;39.2014744878;0;0;dar_es_salaam;ilala;Segerea;Segerea;1539310011515.jpg;1539310039681.jpg;1539310107929.jpg;yes;;yes;dry;loose;low;urban;1539310164130.jpg;1539310178828.jpg;1539310304566.jpg;1539310346766.jpg;The point located on the middle of water stream so we had to move to northen within 500 meters;10;8620c822-3ccc-40e7-8901-4af4294e0af8;2018-10-12T13:59:37;;13;529;Annastazia_Baraka;;2018-10-12;Sia_Wilfred;;2018-10-12;;512;492;490;495;462;462;437;351;372;;500;519;7;;501;9;;529;39;;611;116;;605;143;;566;104;;559;122;;374;23;;383;11;;574;;-74;-0.148;;;512;492;490;495;462;462;437;351;372;;500;515;3;;495;3;;502;12;;657;162;;622;160;;561;99;;483;46;;358;7;;372;0;;492;;8;0.016;;107;cb026715-16d0-4420-b3b9-79b0e41ec9b4;2018-11-07T11:22:40;;14
536;2018-10-12T09:35:47.943+03;2018-10-12T09:49:30.811+03;2018-10-12;8.92550204139952E+018;640021071951801;353614096259289;-6.839776666666667 39.31443 4.6 1.4;-6.8397766667;39.31443;4.6;1.4;dar_es_salaam;kigamboni;Vijibweni;Vijibweni;1539326269930.jpg;1539326468306.jpg;1539326773604.jpg;no;Located inside the industry,  then we moved 100 north;yes;dry;loose;low;urban;1539326904742.jpg;1539326925192.jpg;1539326942749.jpg;1539326958816.jpg;No;11;0cdcfd34-7d9d-49a3-8f3a-f04acf5a101e;2018-10-12T15:54:37;;14;536;Swaumu_Nuru;;2018-10-12;other;Salome and Salehe;2018-10-13;;512;492;490;495;462;462;437;351;372;;503;512;0;;497;5;;503;13;;714;219;;574;112;;519;57;;500;63;;365;14;;375;3;;486;;17;0.0337972167;;;512;492;490;495;462;462;437;351;372;;;512;0;;507;15;;538;48;;659;164;;658;196;;544;82;;487;50;;360;9;;374;2;;566;;;;;99;e91d119c-d925-4b96-8b1d-67c43ab0602a;2018-11-07T09:31:07;;6
537;2018-10-12T12:08:59.321+03;2018-10-12T16:25:40.422+03;2018-10-12;8.92550204139952E+018;640021071951801;353614096259289;-6.8412299999999995 39.33237166666667 -12.7 1.6;-6.84123;39.3323716667;-12.7;1.6;dar_es_salaam;kigamboni;Tungi;Kisota;1539335432444.jpg;1539335445288.jpg;1539335643717.jpg;no;It's inside somebody's house;no;dry;loose;medium;urban;1539335672064.jpg;1539335694751.jpg;1539335711251.jpg;1539335725709.jpg;The ground was too hard to dig;12;5b3a178c-36d7-4140-adbe-d404b922dc99;2018-10-12T15:56:42;;15;537;Swaumu_Nuru;;2018-10-12;other;Salehe Hamisi and Baraka Barton;2018-10-13;;512;492;490;495;462;462;437;351;372;;500;564;52;;541;49;;535;45;;584;89;;564;102;;524;62;;505;68;;364;13;;377;5;;485;;15;0.03;;;512;492;490;495;462;462;437;351;372;;501;554;42;;562;70;;573;83;;597;102;;619;157;;533;71;;476;39;;358;7;;375;3;;574;;-73;-0.1457085828;;98;0723c042-c6f4-4614-9f19-b92e555696c6;2018-11-07T09:31:05;;5
720;2018-10-12T11:57:11.973+03;2018-10-16T10:29:40.071+03;2018-10-12;8.92550506039852E+018;640050639852309;353614091318981;-6.605581237738633 39.13303256034851 0.0 0.0;-6.6055812377;39.1330325603;0;0;dar_es_salaam;kinondoni;Mbweni;Mbweni teta;1539673806586.jpg;1539674165903.jpg;1539674185992.jpg;yes;;no;dry;loose;low;urban;1539674223280.jpg;1539674235660.jpg;1539674250310.jpg;1539674262322.jpg;;13;1def532f-3e4d-495e-9821-002913a24c87;2018-10-16T11:50:27;;16;720;Rebeca_Ramadhani;;2018-10-16;Sia_Wilfred;;2018-10-17;;513;492;494;495;461;452;437;351;371;;501;522;9;;516;24;;531;37;;643;148;;627;166;;520;68;;472;35;;358;7;;374;3;;497;;4;0.0079840319;;;517;500;518;494;493;463;443;351;372;;501;529;12;;513;13;;543;25;;770;276;;579;86;;515;52;;470;27;;356;5;;374;2;;498;;3;0.005988024;;122;185bf16e-5337-4b5f-88aa-84cfcfefcedc;2018-11-07T12:26:01;;25
719;2018-10-16T10:34:28.968+03;2018-10-16T14:35:26.526+03;2018-10-16;8.92550506039852E+018;640050639852309;353614091318981;-6.605413380299495 39.11523878574371 0.0 0.0;-6.6054133803;39.1152387857;0;0;dar_es_salaam;kinondoni;Mbweni;Moga;1539675393125.jpg;1539675407595.jpg;1539675653396.jpg;yes;;no;dry;loose;low;urban;1539675569118.jpg;1539675579742.jpg;1539675597986.jpg;1539675612322.jpg;;14;2ffc1591-f6df-44ea-8e3f-986d3a489c4d;2018-10-16T11:55:16;;17;719;Rebeca_Ramadhani;;2018-10-16;Sia_Wilfred;;2018-10-17;;517;500;518;494;493;463;443;351;372;;500;137;-380;;118;-382;;500;-18;;622;128;;587;94;;571;108;;534;91;;367;16;;375;3;;-340;;840;1.68;;;517;500;518;494;493;463;443;351;372;;500;517;0;;500;0;;532;14;;624;130;;645;152;;578;115;;515;72;;363;12;;375;3;;498;;2;0.004;;115;5adea404-eebe-4549-a369-ddc21f847595;2018-11-07T12:25:53;;18
721;2018-10-16T11:02:25.323+03;2018-10-16T14:34:25.373+03;2018-10-16;8.92550506039852E+018;640050639852309;353614091318981;-6.605538607283307 39.15106236934662 0.0 0.0;-6.6055386073;39.1510623693;0;0;dar_es_salaam;kinondoni;Mbweni;Kigoma;1539677112055.jpg;1539677566294.jpg;1539677577421.jpg;yes;;no;dry;loose;low;urban;1539677606305.jpg;1539677614527.jpg;1539677624165.jpg;1539677634062.jpg;;15;3ac08007-6630-400f-885c-c21fb28f9aea;2018-10-16T12:14:43;;18;721;Rebeca_Ramadhani;;2018-10-16;Sia_Wilfred;;2018-10-17;;517;500;518;494;493;463;443;351;372;;500;529;12;;522;22;;549;31;;603;109;;600;107;;523;60;;531;88;;366;15;;377;5;;449;;51;0.102;;;517;500;518;494;493;463;443;351;372;;500;529;12;;521;21;;568;50;;648;154;;610;117;;542;79;;499;56;;360;9;;376;4;;502;;-2;-0.004;;119;81822032-b3b4-4010-8229-7f271f10734e;2018-11-07T12:25:57;;22
710;2018-10-16T11:09:23.014+03;2018-10-16T11:18:55.967+03;2018-10-16;8.92550441093499E+018;640044193498715;355938094600683;-6.623871666666668 39.096835000000006 49.2 2.0;-6.6238716667;39.096835;49.2;2;dar_es_salaam;kinondoni;Bunju;Bunju B;1539677426183.jpg;1539677496527.jpg;1539677833830.jpg;yes;;yes;dry;consolidated;high;urban;1539677891711.jpg;1539677907982.jpg;1539677918318.jpg;1539677929211.jpg;;16;ff0f54e5-6e61-41a1-a3ce-a3c8ff5a0b8d;2018-10-16T14:59:43;;19;710;Annastazia_Baraka;;2018-10-16;Sia_Wilfred;;2018-10-17;;517;500;518;494;493;463;443;351;372;;500;550;33;;543;43;;580;62;;657;163;;588;95;;523;60;;477;34;;358;7;;374;2;;499;;1;0.002;;;517;500;518;494;493;463;443;351;372;;501;636;119;;584;84;;589;71;;586;92;;546;53;;500;37;;476;33;;360;9;;375;3;;501;;0;0;;114;7c090338-a7db-42bb-99e7-4a1c2fb26f5a;2018-11-07T12:25:51;;17
711;2018-10-16T11:34:48.878+03;2018-10-16T11:41:24.121+03;2018-10-16;8.92550441093499E+018;640044193498715;355938094600683;-6.623658333333333 39.11497166666666 66.6 1.9;-6.6236583333;39.1149716667;66.6;1.9;dar_es_salaam;kinondoni;Bunju;Bunju B;1539678994016.jpg;1539679053828.jpg;1539679208475.jpg;yes;;yes;dry;loose;low;urban;1539679238349.jpg;1539679247277.jpg;1539679269335.jpg;1539679278644.jpg;;17;acca117d-d921-4012-89bc-f0f632680950;2018-10-16T15:16:32;;20;711;Annastazia_Baraka;;2018-10-16;Sia_Wilfred;;2018-10-17;;513;492;494;495;461;452;437;351;371;;502;514;1;;501;9;;524;30;;732;237;;570;109;;509;57;;480;43;;360;9;;374;3;;498;;4;0.0079681275;;;517;500;518;494;493;463;443;351;372;;501;517;0;;505;5;;558;40;;730;236;;591;98;;531;68;;485;42;;360;9;;375;3;;501;;0;0;;116;0e67b7db-4bf9-4621-9ff6-fb45ce2b8836;2018-11-07T12:25:54;;19
